HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7001.00","0","Cullet and other waste and scrap of glass, excluding glass from cathode-ray tubes or other activated glass of heading 8549; glass in the mass:","","","","","",""
"","1","Glass in the mass:","","","","","",""
"7001.00.10.00","2","Of fused quartz or other fused silica","[""kg""]","Free","","30%","",""
"7001.00.20.00","2","Other","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7001.00.51.00","1","Other","[""kg""]","Free","","10%","",""
"7002","0","Glass in balls (other than microspheres of heading 7018), rods or tubes, unworked:","","","","","",""
"7002.10","1","Balls:","","","","","",""
"7002.10.10.00","2","Not over 6 mm in diameter","[""kg""]","3.9%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","60%","",""
"7002.10.20.00","2","Other","[""kg""]","Free","","55%","",""
"7002.20","1","Rods:","","","","","",""
"7002.20.10.00","2","Of fused quartz or other fused silica","[""kg""]","Free","","40%","",""
"7002.20.50.00","2","Other","[""kg""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"","1","Tubes:","","","","","",""
"7002.31.00.00","2","Of fused quartz or other fused silica","[""kg""]","Free","","40%","",""
"7002.32.00.00","2","Of other glass having a linear coefficient of expansion not exceeding 5 x 10<sup>-6</sup> per Kelvin within a temperature range of 0˚C to 300˚C","[""kg""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7002.39.00","2","Other","","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7002.39.00.10","3","Of a length not exceeding 200 mm","[""No.""]","","","","",""
"7002.39.00.90","3","Other","[""kg""]","","","","",""
"7003","0","Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked:","","","","","",""
"","1","Nonwired sheets:","","","","","",""
"7003.12.00.00","2","Colored throughout the mass (body tinted), opacified, flashed or having an absorbent, reflecting or non-reflecting layer","[""m<sup>2<\/sup>""]","1.4%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","12%","",""
"7003.19.00.00","2","Other","[""m<sup>2<\/sup>""]","1.3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","21%","",""
"7003.20.00.00","1","Wired sheets","[""m<sup>2<\/sup>""]","1.1%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","21%","",""
"7003.30.00.00","1","Profiles","[""m<sup>2<\/sup>""]","6.3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7004","0","Drawn glass and blown glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked:","","","","","",""
"7004.20","1","Glass, colored throughout the mass (body tinted), opacified, flashed or having an absorbent, reflecting or non-reflecting layer:","","","","","",""
"7004.20.10.00","2","Having an absorbent, reflecting or non-reflecting layer","[""m<sup>2<\/sup>""]","Free","","60%","",""
"","2","Other:","","","","","",""
"7004.20.20","3","In rectangular shape","","1¢/kg + 1.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.2¢/kg + 5%","",""
"7004.20.20.10","4","Measuring less than 5 mm in thickness","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7004.20.20.20","4","Measuring 5 mm and over in thickness","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7004.20.50.00","3","Other","[""m<sup>2<\/sup>""]","7.2%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7004.90","1","Other glass:","","","","","",""
"","2","In rectangular shape:","","","","","",""
"","3","Measuring not over 1.5 mm in thickness:","","","","","",""
"7004.90.05.00","4","Measuring not over 0.26 m<sup>2</sup> in area","[""m<sup>2<\/sup>"",""kg""]","Free","","3.3¢/kg","",""
"7004.90.10.00","4","Measuring over 0.26 m<sup>2</sup> in area","[""m<sup>2<\/sup>"",""kg""]","Free","","4.2¢/kg","",""
"","3","Measuring over 1.5 but not over 2 mm in thickness:","","","","","",""
"7004.90.15.00","4","Measuring not over 0.26 m<sup>2</sup> in area","[""m<sup>2<\/sup>"",""kg""]","Free","","4.6¢/kg","",""
"7004.90.20.00","4","Measuring over 0.26 m<sup>2</sup> in area","[""m<sup>2<\/sup>"",""kg""]","Free","","5.5¢/kg","",""
"7004.90.25","3","Measuring over 2 but not over 3.5 mm in thickness","","0.7¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.3¢/kg","",""
"7004.90.25.10","4","Measuring not over 0.26 m<sup>2</sup> in area","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7004.90.25.20","4","Measuring over 0.26 but not over 0.58 m<sup>2</sup> in area","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7004.90.25.50","4","Measuring over 0.58 m<sup>2</sup> in area","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Measuring over 3.5 mm in thickness:","","","","","",""
"7004.90.30","4","Measuring not over 0.65 m<sup>2</sup> in area","","Free","","3.3¢/kg","",""
"","5","Measuring not over 0.26 m<sup>2</sup> in area:","","","","","",""
"7004.90.30.10","6","Measuring over 3.5 but not over 5 mm in thickness","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7004.90.30.20","6","Measuring over 5 mm in thickness","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7004.90.30.50","5","Measuring over 0.26 but not over 0.65 m<sup>2</sup> in area","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7004.90.40.00","4","Measuring over 0.65 m<sup>2</sup> in area","[""m<sup>2<\/sup>"",""kg""]","Free","","5.3¢/kg","",""
"7004.90.50.00","2","Other","[""m<sup>2<\/sup>""]","5%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7005","0","Float glass and surface ground or polished glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked:","","","","","",""
"7005.10","1","Nonwired glass, having an absorbent, reflecting or non-reflecting layer:","","","","","",""
"7005.10.40.00","2","Suitable for use in liquid crystal displays, measuring not over 1.2 mm in thickness and not over 0.8 m<sup>2</sup> in area","[""m<sup>2<\/sup>""]","Free","","60%","",""
"7005.10.80.00","2","Other","[""m<sup>2<\/sup>""]","4.4%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"","1","Other nonwired glass:","","","","","",""
"7005.21","2","Colored throughout the mass (body tinted), opacified, flashed or merely surface ground:","","","","","",""
"7005.21.10","3","Measuring less than 10 mm in thickness","","14.5¢/m<sup>2 </sup>+ 0.4%","Free (A+,AU,B,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","$2.13/m<sup>2</sup> + 5%","",""
"7005.21.10.10","4","Measuring less than 5 mm in thickness","[""m<sup>2<\/sup>""]","","","","",""
"7005.21.10.30","4","Measuring 5 mm or more but less than 10 mm in thickness","[""m<sup>2<\/sup>""]","","","","",""
"7005.21.20.00","3","Measuring 10 mm or more in thickness","[""m<sup>2<\/sup>""]","5.6%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","55%","",""
"7005.29","2","Other:","","","","","",""
"","3","Measuring less than 10 mm in thickness:","","","","","",""
"","4","Measuring not over 0.65 m in area:","","","","","",""
"7005.29.04","5","Suitable for use in liquid crystal displays","","Free","","$1.35/m<sup>2</sup>","",""
"7005.29.04.10","6","Measuring not over 0.26 m<sup>2</sup> in area","[""m<sup>2<\/sup>""]","","","","",""
"7005.29.04.50","6","Measuring over 0.26 m<sup>2</sup> but not over 0.65 m<sup>2</sup> in area","[""m<sup>2<\/sup>""]","","","","",""
"7005.29.08","5","Other","","18.7¢/m<sup>2</sup>","Free (A+,AU,B,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","$1.35/m<sup>2</sup>","",""
"7005.29.08.10","6","Measuring not over 0.26 m<sup>2</sup> in area","[""m<sup>2<\/sup>""]","","","","",""
"7005.29.08.50","6","Measuring over 0.26 m<sup>2</sup> but not over 0.65 m<sup>2</sup> in area","[""m<sup>2<\/sup>""]","","","","",""
"","4","Measuring over 0.65 m<sup>2</sup> in area:","","","","","",""
"7005.29.14","5","Suitable for use in liquid crystal displays, measuring not over 0.8 m<sup>2</sup> in area","","Free","","$2.13/m<sup>2</sup>","",""
"7005.29.14.10","6","Measuring less than 5 mm in thickness","[""m<sup>2<\/sup>""]","","","","",""
"7005.29.14.50","6","Measuring 5 mm or more but less than 10 mm in thickness","[""m<sup>2<\/sup>""]","","","","",""
"7005.29.18","5","Other","","14.5¢/m<sup>2</sup>","Free (A+,AU,B,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","$2.13/m<sup>2</sup>","",""
"7005.29.18.10","6","Measuring less than 5 mm in thickness","[""m<sup>2<\/sup>""]","","","","",""
"7005.29.18.50","6","Measuring 5 mm or more but less than 10 mm in thickness","[""m<sup>2<\/sup>""]","","","","",""
